robot_name,distance,bearing,heading,pos_x,pos_y,bullet_power,is_moving,hit
sample.SittingDuck,312.11239584981985,118.8015635689788,215.0930921615727,0.0,0.0,3.0,false,false
sample.SittingDuck,312.11239584981985,118.8015635689788,215.0930921615727,629.2907123518158,345.5827148332646,1.0,false,true
sample.Walls,93.93717172379041,110.66308969973909,90.0,637.1493435174532,341.1487173443702,1.0,false,true
sample.SittingDuck,312.11239584981985,118.8015635689788,215.0930921615727,635.3246354456674,338.42193473062616,2.0,false,true
sample.SittingDuck,312.11239584981985,118.8015635689788,215.0930921615727,637.4162186604315,337.9456627118866,3.0,false,true
sample.SittingDuck,312.11239584981985,118.8015635689788,215.0930921615727,628.6747507260183,344.65955426833943,1.0,false,true
sample.SittingDuck,312.11239584981985,118.8015635689788,215.0930921615727,636.5803392294824,340.29160877952006,2.0,false,true
sample.SittingDuck,312.11239584981985,118.8015635689788,215.0930921615727,638.5697943849981,339.67152549769264,3.0,false,true
sample.SittingDuck,312.11239584981985,118.8015635689788,215.0930921615727,629.5742860619405,346.010240699712,2.0,false,true
sample.Walls,478.68945397363905,156.68544839021416,180.0,0.0,0.0,3.0,false,false
sample.Walls,516.9131868466455,158.54827214491294,270.0,802.7237866529173,232.56936248576915,1.0,false,false
sample.Fire,349.2784510961047,-157.9329848932135,357.3911576984922,539.7528515334791,-10.639662759882047,3.0,false,false
sample.Corners,370.9896521395958,-82.38110355280944,270.0,0.0,0.0,2.0,false,false
sample.Crazy,156.89413794525535,76.88395473890819,256.5291971322565,226.7245537191376,-6.207821830902796,1.0,false,false
sample.Walls,611.9411731803629,-147.08550398023021,270.0,806.8933658267592,504.48882398055986,1.0,false,false
sample.Corners,370.9896521395958,-82.38110355280944,270.0,6.048700142032558,26.99516808077569,2.0,false,true
sample.Crazy,64.56266776434599,132.69673471745864,11.529197132256488,415.84303480591495,485.18811814604464,2.0,false,true
sample.Fire,344.5016182532685,-170.95189496379083,313.7791971322566,0.0,0.0,3.0,false,false
sample.Corners,370.9896521395958,-82.38110355280944,270.0,0.0,0.0,2.0,false,false
sample.Crazy,365.7710633820719,83.64196236982697,286.2791971322565,201.8331983419969,1.9410868597671787,2.0,false,false
sample.Fire,351.94826187777977,-172.90272810914908,313.7791971322566,801.5143058639603,528.614317066899,1.0,false,false
sample.Walls,595.1894975882594,-145.8831700963523,0.0,370.39892145312984,0.09371073530918039,3.0,false,false
sample.Crazy,316.5360950051083,107.09277869128958,33.27919713225642,0.0,0.0,1.0,false,false
sample.Fire,351.94826187777977,-172.90272810914908,213.7791971322567,-1.5531253826840707,85.55113093909321,3.0,false,false
sample.Walls,368.2175304401133,-84.82410755646394,0.0,359.8567371363355,-6.565269357251736,2.0,false,false
sample.Crazy,245.86071467046224,165.4912343766352,235.77919713225646,0.0,0.0,2.0,false,false
sample.Crazy,323.7912147953417,-171.87730790897004,206.2791971322564,0.0,0.0,1.0,false,false
sample.Crazy,343.42334832601597,-168.58788711218233,138.0291971322564,469.86566719104513,-0.5178544178186506,1.0,false,false
sample.Crazy,355.76414662150637,-150.9948924425472,81.2791971322563,0.0,0.0,1.0,false,false
sample.Crazy,403.2348197817001,-135.16342450428334,134.27919713225646,270.8246780280098,-5.191864992877527,3.0,false,false
sample.Crazy,346.701576300798,-116.33725979910666,206.2791971322566,160.55970717751978,422.55740901255353,1.0,false,true
sample.Crazy,240.0336206120247,-111.65877295223804,267.7791971322565,-0.2826741305768472,231.3174955475307,3.0,false,false
sample.Crazy,286.89217514248173,-87.34106841690702,312.27919713225646,-0.8493851363274594,316.2574204375326,3.0,false,false
sample.Walls,460.4610733826305,116.09718951492465,180.0,0.40803484119959776,561.6067386304019,1.0,false,false
sample.Walls,530.222225172017,127.43762766202863,180.0,748.9970297106597,-6.476124232384866,2.0,false,false
sample.Walls,250.22305661941542,-45.123210229102895,270.0,0.0,0.0,2.0,false,false
sample.Walls,197.9193476502665,-19.40960500336852,270.0,0.0,0.0,2.0,false,false
sample.Walls,204.69076085218632,15.220092518912766,270.0,622.2770655682955,-7.293497779576507,1.0,false,false
sample.Walls,270.9696421782093,39.743891902422604,270.0,39.750426170146795,-1.2326395445173617,2.0,false,false
